,Method,precision_score,recall_score,f1_score,accuracy_score
0,LogReg,0.6593510745764384,0.6673464278636027,0.6517373931893253,0.6673464278636027
1,SVM,0.5339672801187164,0.4947062075583882,0.4529141161735528,0.4947062075583882
2,DNN,0.919206140236264,0.9114763161463277,0.913367138581249,0.9114763161463277
3,Naive,0.5657800618647281,0.5488384949982789,0.44844337245470406,0.5488384949982789
